miss_rate,inflation_rate,policy,replicates,mean_cost,ci95_cost,mean_success,ci95_success,mean_wrong_route,ci95_wrong_route,mean_confirmed,ci95_confirmed,mean_support_size,ci95_support_size
0.01,0.2,voi_correct_support,30,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.01,0.5,conservative_tao,30,2.1254,0.024649468295774,0.9885999999999998,0.002240860754161275,0.011400000000000004,0.002240860754161273,0.0,0.0,1.0,0.0
0.01,0.5,entropy_commit,30,2.1202666666666667,0.01891835252561716,0.9890666666666664,0.0017198502296015613,0.010933333333333338,0.0017198502296015593,0.0,0.0,1.0,0.0
0.01,0.5,support_inflated_tao,30,2.378273333333332,0.014626516638675915,0.9951333333333332,0.0011383500596203043,0.0048666666666666684,0.0011383500596203033,0.4995999999999999,0.006942442539466434,1.4996,0.006942442539466435
0.01,0.5,tao_nominal,30,2.1239333333333335,0.021434072086086938,0.9887333333333334,0.0019485520078260864,0.011266666666666671,0.0019485520078260845,0.0,0.0,1.0,0.0
0.01,0.5,voi_correct_support,30,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.02,0.0,conservative_tao,30,2.2178,0.018182947413543198,0.9802000000000001,0.0016529952194130216,0.019800000000000005,0.0016529952194130199,0.0,0.0,1.0,0.0
0.02,0.0,entropy_commit,30,2.2112000000000003,0.023353902400526833,0.9808000000000001,0.0021230820364115327,0.01920000000000001,0.0021230820364115306,0.0,0.0,1.0,0.0
0.02,0.0,support_inflated_tao,30,2.216333333333333,0.028728074447410122,0.9803333333333332,0.0026116431315827407,0.019666666666666673,0.0026116431315827385,0.0,0.0,1.0,0.0
0.02,0.0,tao_nominal,30,2.2214666666666667,0.02187327646666069,0.9798666666666667,0.001988479678787339,0.020133333333333343,0.001988479678787337,0.0,0.0,1.0,0.0
0.02,0.0,voi_correct_support,30,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.02,0.1,conservative_tao,30,2.2302666666666666,0.024526332454381253,0.9790666666666668,0.0022296665867619346,0.020933333333333342,0.0022296665867619324,0.0,0.0,1.0,0.0
0.02,0.1,entropy_commit,30,2.207533333333333,0.01583767807588122,0.9811333333333331,0.0014397889159892042,0.018866666666666674,0.001439788915989203,0.0,0.0,1.0,0.0
0.02,0.1,support_inflated_tao,30,2.2789866666666665,0.02517284571493453,0.9802000000000002,0.0022581346385849134,0.01980000000000001,0.002258134638584912,0.09413333333333336,0.004690965337834664,1.0941333333333334,0.004690965337834668
0.02,0.1,tao_nominal,30,2.2295333333333334,0.022617831373291528,0.9791333333333336,0.002056166488481051,0.02086666666666668,0.0020561664884810493,0.0,0.0,1.0,0.0
0.02,0.1,voi_correct_support,30,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.02,0.2,conservative_tao,30,2.1884666666666663,0.023085449005829747,0.9828666666666668,0.002098677182348162,0.01713333333333334,0.0020986771823481598,0.0,0.0,1.0,0.0
0.02,0.2,entropy_commit,30,2.1943333333333332,0.024382131488832098,0.9823333333333333,0.0022165574080756463,0.017666666666666674,0.002216557408075644,0.0,0.0,1.0,0.0
0.02,0.2,support_inflated_tao,30,2.3227066666666665,0.02586765079199135,0.9827333333333333,0.002266981938858605,0.017266666666666673,0.0022669819388586032,0.20426666666666668,0.006458287145848933,1.2042666666666668,0.006458287145848937
0.02,0.2,tao_nominal,30,2.2133999999999996,0.01804135189776115,0.9806000000000001,0.0016401228997964712,0.01940000000000001,0.0016401228997964697,0.0,0.0,1.0,0.0
0.02,0.2,voi_correct_support,30,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.02,0.5,conservative_tao,30,2.2265999999999995,0.02430018435008827,0.9794,0.002209107668189846,0.02060000000000001,0.0022091076681898447,0.0,0.0,1.0,0.0
0.02,0.5,entropy_commit,30,2.220733333333334,0.022974088827545223,0.9799333333333337,0.0020885535297768413,0.020066666666666677,0.002088553529776839,0.0,0.0,1.0,0.0
0.02,0.5,support_inflated_tao,30,2.4801300000000017,0.020200273664380895,0.9860666666666666,0.0018651888402951833,0.013933333333333337,0.001865188840295182,0.5028666666666667,0.0077509184288329005,1.5028666666666666,0.007750918428832906
0.02,0.5,tao_nominal,30,2.2273333333333327,0.02933539670903785,0.9793333333333335,0.0026668542462761698,0.020666666666666673,0.002666854246276168,0.0,0.0,1.0,0.0
0.02,0.5,voi_correct_support,30,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.05,0.0,conservative_tao,30,2.7776000000000125,0.020298906383542918,0.9884000000000001,0.0018453551257765785,0.011600000000000004,0.0018453551257765761,1.0,0.0,2.0,0.0
0.05,0.0,entropy_commit,30,2.558066666666667,0.035897630078767465,0.9492666666666667,0.003263420916251582,0.05073333333333336,0.0032634209162515876,0.0,0.0,1.0,0.0
0.05,0.0,support_inflated_tao,30,2.5096666666666674,0.03391388343970188,0.9536666666666666,0.0030830803127001706,0.04633333333333335,0.003083080312700171,0.0,0.0,1.0,0.0
0.05,0.0,tao_nominal,30,2.558066666666667,0.039740337418617815,0.9492666666666668,0.0036127579471470724,0.050733333333333366,0.003612757947147073,0.0,0.0,1.0,0.0
0.05,0.0,voi_correct_support,30,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.05,0.1,conservative_tao,30,2.7688000000000113,0.019239468475465014,0.9892000000000001,0.0017490425886785889,0.010800000000000004,0.0017490425886785873,1.0,0.0,2.0,0.0
0.05,0.1,entropy_commit,30,2.5258000000000007,0.03869770277538388,0.9521999999999998,0.0035179729795803485,0.04780000000000002,0.0035179729795803538,0.0,0.0,1.0,0.0
0.05,0.1,support_inflated_tao,30,2.566376666666667,0.030851695422811416,0.9542666666666666,0.0027987037612607437,0.045733333333333355,0.002798703761260741,0.0974,0.004721801565397312,1.0974,0.004721801565397316
0.05,0.1,tao_nominal,30,2.555866666666667,0.0392778420988055,0.9494666666666666,0.0035707129180732196,0.050533333333333354,0.0035707129180732266,0.0,0.0,1.0,0.0
